tweet_text,cyberbullying_type,is_targeting_women,needs_review,sentiment_score,is_hostile_to_women,is_hostile_needs_review
i reckon this olly riley guy is a closet homosexual. either that or every day he goes to school some big fat cunt knocks him out,gender,True,True,-0.4939,True,True
"don't make rape jokes!!! don't make gay jokes!!! oh but fat jokes are okay they don't cause depression and possible suicide or anything
@RepTedYoho Did you call female member of government, AOC, “fucking bitch”? @HouseAgGOP @HouseForeignGOP @HouseAdmnGOP @HouseForeign @HouseGOP @SpeakerPelosi @AOC
@YourAnonCentral Why is rape always the example used ? Why not say lynching jokes, or drag a gay man behind a truck joke ? Think a little.
Who is worse for FL? @marcorubio who can’t tell the difference between 2 black leaders, @RepTedYoho who calls a female a fucking bitch for no reason, or @GovRonDeSantis for letting Floridians suffer and die because he is too incompetent to lead?
The Miseducation of the American Boy: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://bit.ly/2RhOXD7 via @TheAtlantic @peggyorenstein #boyhoodstudies
I pull gay niccas, straight females and mommas , a bitch who call me ugly a hatin A$$HOE !
@pewdiepie you got kicked out of the partnership? We all tried to tell you nobody likes rape or gay jokes. #Swerve
RT @AxAs23: @BBCSport Not sexist but even women prefer to watch Men's sports over women playing because it's played at a higher level.
And we should be able to tell others not to rape or be sexist without that feeling that you're being judged for being a feminist/gay""",gender,True,True,-0.9915,True,True
"If I had a dollar for every time I've overheard a high school teacher call a female student a bitch, cunt or whore, I'd be able to treat you all to drinks.",gender,True,True,-0.8625,True,True
"the fact that a lot males try and normalize calling females a bitch, cunt, etc. especially in a relationship is fucking sick and disrespectful as hell. if you ain’t gonna call your own mother something like that, then don’t talk to any female like that period. ESPECIALLY YOUR GF!",gender,True,True,-0.9097,True,True
"The Miseducation of the American Boy. (Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. By Peggy Orenstein) https://flip.it/OkOWVE",gender,True,True,-0.2023,True,True
#mkr That steaming cunt will go down in flames in a very short time. They still can't cook,gender,False,True,-0.4939,False,True
@JacquelinBabe cunt,gender,False,True,-0.4939,False,True
"This is laughably pathetic. No self respecting guy laughs at rape jokes, thinks having a girlfriend is gay or refuses to cry just to save face. The people who think this is what guys are like by default are just as stuck in the past as the few who do fall into this category.",gender,True,True,-0.7374,True,True
@Glinner @TURBOCUNT twitter rage has a point. but rage + mob mentality causes some people to lose good sense.,gender,False,True,-0.7845,False,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. https://lnkd.in/eEKiFxz https://lnkd.in/eZ-x6Er",gender,True,True,-0.2023,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity by @peggyorenstein https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
Fuck you you fucken cunt &gt;.&lt; !,gender,False,True,-0.7901,False,True
Im really disappointed that none of the campers threw their full shit buckets over #CuntAndAndre #KatAndAndre #MKR #ShitBags #CantCook,gender,False,True,-0.7902,False,True
Please tell me #CuntAndAndre go to sudden death tonight #CantCook #CuntCook #MKR #WontStopTillTheyDrop,gender,False,True,-0.3818,False,True
"@dylansdelena rape jokes, suicide jokes, calling girls cunts, fat, ugly, etc. said lesbians aren't really gay, that they choose to be gay...",gender,True,True,-0.9371,True,True
"The Miseducation of the American Boy by ⁦@peggyorenstein⁩ “Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. “ cc ⁦@GoodMenProject⁩ https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. Toxic Masculinity and the Brokenness of Boyhood - The Atlantic - ⁦@peggyorenstein⁩ https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity @peggyorenstein https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,True,True,-0.2023,True,True
@semzyxx @NAInfidels @owais00 Thanks for proving conclusively that you are a lying cunt who contradicts all available data.,gender,False,True,-0.7269,False,True
"Anyone know how I can stop Google showing me misogynist mobile game ads where the plot is a rape joke/ “collecting” waifus/ “gold digger” deception tropes? Preferably I want to make a complaint AND block those ads, but failing that, even just letting Google think I’m gay is fine",gender,True,True,-0.8573,True,True
KAT IS A FUCKING CUNT #mkr,gender,False,True,-0.7148,False,True
Has anyone noticed how it's never really attractive women being feminazi cunts. It's always ham beasts no man wants to stick their dick in.,gender,True,True,-0.9006,True,True
"The sexist litmus test is if you call out a lvl 2 sexist comment &amp; the dood comes back with lvl 10 guns ablazing, ""pussy"" &amp; ""cunt"" &amp; ""bitch""",gender,True,True,-0.7906,True,True
Kat and Andre you fucking cunts #mkr,gender,False,True,-0.6361,False,True
"Current comic has made jokes on Obama/Hitler Redskins/Jews and Rape/ Girlfriends and ""if you're not douchey everyone thinks your gay""",gender,True,True,-0.5719,True,True
"Whatya know, Kat is still a cunt! #MKR",gender,False,True,-0.5411,False,True
I vote for #cuntandandre &amp; Annie/Lloyd cook off Shit vs shit #mkr,gender,False,True,-0.802,False,True
RT @k_yah: Don't you dare put in the water works Kat!! You're evil!! #cuntandandre #MKR,gender,False,True,-0.7627,False,True
"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/ ICYMI @RemakingManhood #masculinity #boys",gender,True,True,-0.2023,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
"People give words power. Go watch a woman with her friends call each other ""Bitch"" as a term of endearment. Now, you go ahead and try and call one of your female friends, girlfriend, or wife a ""Bitch"" and see what happens",gender,True,True,-0.34,True,True
RT @RichardMeal @sir_lummox maybe that's where they should focus? Less cunts on football. #notsexist,gender,True,True,-0.5584,True,True
"Long ago, I asked some white gay men on our lunch break, advice on where they thought the safest city for me to relocate and live would be. They said to me, ""West Hollywood girlfriend. No one wants to rape you there."" This is not a joke. They meant it. And it makes perfect sense.",gender,True,True,-0.3374,True,True
"@NewEraJihadi @ShamiAnalyst These are Deash guns, cunt. http://t.co/wInj8aWbla",gender,False,True,-0.4939,False,True
@uygaraktas Do the IS cunts think they can stop air strikes by hiding behind captive civilians and crying about their deaths?,gender,False,True,-0.9169,False,True
@Roy_Is_Arsenal @booya_streak fuck you it's not a joke why do you think rape is funny why do you think being gay is bad your a cunt,gender,False,True,-0.9311,False,True
Kat the #CuntFaceBitch #mkr lives to fight on. http://t.co/ngtgO2U85R,gender,True,True,-0.3818,True,True
"This stuff is all so misguided and mistaken. Boys know they can cry. Boys don’t crack up at rape jokes. Boys don’t think having a girlfriend is “gay” We aren’t taught one singular uniform of masculinity. I, and a lot of men are tired of being told by random people, especially...",gender,True,True,-0.9093,True,True
- Story hinges on “lesbians can’t be happy” trope - Gay MC repeatedly gets raped and has the snot kicked out of her; never catches a break - Trying to revive her dead girlfriend fails miserably - Other main character exists solely to be a “predatory lesbian” rape-as-comedy joke,gender,True,True,-0.9042,True,True
Sorry but #JessieJ on #thevoiceau is being a real cunt. You're not all that.,gender,False,True,-0.6652,False,True
@Rob0994 your a cunt,gender,False,True,-0.4939,False,True
"“Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity.” #disruptthedefault",gender,True,True,-0.2023,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity",gender,True,True,-0.2023,True,True
"RT @ThatTypeOfNiga: Call me sexist or Old fashioned but i prefer females who dont like sports, i want a girly girlfriend not a boyfriend.",gender,True,True,-0.2993,True,True
"#cuntandandre unlike MH370, I can't wait to see you crash and burn. #mkr",gender,False,True,-0.4019,False,True
#MKR if Cunt and Arsehole remain you are a bunch of rigged cunts!!,gender,False,True,-0.8802,False,True
"last year/2017 he made these jokes about rape in a live-stream, he also mentally abused his ex who exposed him with proof , then he had this racist ass girlfriend that he just excused and never cared about anything she said. he also thinks it’s okay to us “gay” as an insult",gender,True,True,-0.9651,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
cunt feminazi bitch,gender,True,True,-0.7906,True,True
BULLSHIT! Kat &amp; Andre you are deadset CUNTS! #MKR,gender,False,True,-0.8945,False,True
Why don't the like me Andre?  #mkr. #cuntfacebitch http://t.co/dBVWcHHwvz,gender,True,True,-0.2755,True,True
"Suck it Kat, you fucking cunt. #mkr",gender,False,True,-0.7501,False,True
